업체명,주소,전화번호,24시간 운영여부,구분,한줄소개,대표이미지URL,보유시설,장례지도사,대표후기,소형_비용,중형_비용,대형_비용,평점,후기수,태그,허가번호
(주) 하늘펫,광주광역시 광산구 평동매화길 34 (지죽동),062-946-2626,Y,,,,,,,200000,300000,500000,,,,
(주)더포에버,인천광역시 서구 설원로 79 (대곡동),031-713-5002,Y,,,,,,,200000,300000,500000,,,,
(주)동물사랑 대구러브펫,대구광역시 달서구 문화회관9길 71 (장동),053-593-4900,Y,,,,,,,200000,300000,500000,,,,
(주)모모리아,경상북도 구미시 옥성면 이곡3길 69,,Y,,,,,,,200000,300000,500000,,,,
(주)반려동물 장례지원단,대전광역시 동구 모암로 128-6 (이사동),,Y,,,,,,,200000,300000,500000,,,,
(주)젠틀펫,울산광역시 북구 진장동 859 ,,Y,,,,,,,200000,300000,500000,,,,
(주)젠틀펫,경상북도 문경시 문경읍 문경대로 2430,,Y,,,,,,,200000,300000,500000,,,,
(주)젠틀펫,경상북도 경산시 한의대로 124 (점촌동),,Y,,,,,,,200000,300000,500000,,,,
(주)좋은친구들,충청남도 공주시 우성면 보흥2길 36-61,,Y,,,,,,,200000,300000,500000,,,,
(주)펫노블레스,경상남도 양산시 상북면 공원로3길 19-91,055-374-4400,Y,,,,,,,200000,300000,500000,,,,
(주)펫바라기,경기도 고양시 일산동구 은마길63번길 25-2 (설문동),031-976-3179,Y,,,,,,,200000,300000,500000,,,,
(주)하늘정원,광주광역시 광산구 체암로 1685-2 (양동),062-714-2979,Y,,,,,,,200000,300000,500000,,,,
(주)해피엔딩,경기도 광주시 초월읍 지월로100번길 18,,Y,,,,,,,200000,300000,500000,,,,
21그램 반려동물 장례식장 남양주점,경기도 남양주시 화도읍 수레로964번길 86,1688-1240,Y,,,,,,,200000,300000,500000,,,,
21그램 반려동물 장례식장 천안아산점,충청남도 천안시 동남구 광풍로 1668 (구룡동),,Y,,,,,,,200000,300000,500000,,,,
21그램 반려동물장례식장,경기도 광주시 매자리길 185-35 (매산동),,Y,,,,,,,200000,300000,500000,,,,
21그램 반려동물장례식장 화성점,경기도 화성시 효행구 비봉면 양노남길 108,1688-1240,Y,,,,,,,200000,300000,500000,,,,
ROYHILLS,경기도 양평군 양동면 양동금곡4길 10,1855-2004,Y,,,,,,,200000,300000,500000,,,,
강릉펫사랑(장례식장),강원특별자치도 강릉시 사천면 구라미길 376,033-645-8888,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
강아지 펫 헤븐,경상북도 성주군 선남면 관용로 427,,Y,,,,,,,200000,300000,500000,,,,
경북반려동물장례식장,경상북도 김천시 봉산면 영남대로 353,,Y,,,,,,,200000,300000,500000,,,,
굿바이펫,충청북도 제천시 봉양읍 장평로 95,043-642-1537,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
대전 이별공간,"충청북도 옥천군 이원면 이원로 47, 음식점",,Y,,,,,,,200000,300000,500000,,,,
러브펫 반려동물장례식장,경기도 광주시 초월읍 현산로361번길 12,031-796-4341,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
러블리엔젤,충청북도 청주시 서원구 남이면 구미1길 37-47,043-264-2666,Y,,,,,,,200000,300000,500000,,,,
리멤버반려동물장례식장,경기도 용인시 처인구 남사읍 원암로 535,,Y,,,,,,,200000,300000,500000,,,,
리멤버파크,충청남도 논산시 연산면 계백로 2172-13,041-735-1700,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
리틀포즈 반려동물 장례식장,대구광역시 군위군 부계면 부흥로 118,,Y,,,,,,,200000,300000,500000,,,,
메리온,경상남도 양산시 상북면 오룡길 152,055-374-6503,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
몽몽이엠파크 반려동물장례식장,경기도 남양주시 화도읍 모꼬지로17번길 136,1811-1336,Y,,,,,,,200000,300000,500000,,,,
반려마루 추모관,경기도 여주시 명품로 355 (상거동),031-8030-4482,Y,,,,,,,200000,300000,500000,,,,
백꽃사랑하이빛,경기도 광주시 곤지암읍 신만로 305,,Y,,,,,,,200000,300000,500000,,,,
별다만 광주전남,전라남도 나주시 다도면 다도로 857,061-337-1230,Y,,,,,,,200000,300000,500000,,,,
별이되다,경상남도 김해시 생림면 나전로137번길 31,,Y,,,,,,,200000,300000,500000,,,,
서래안 펫타운,"전북특별자치도 군산시 서래안1길 11, 2층 (경암동)",,Y,,,,,,,200000,300000,500000,,,,
센트럴파크(주),부산광역시 기장군 일광읍 차양길 175,051-728-5411,Y,,,,,,,200000,300000,500000,,,,
순천 반려동물장례식장 하늘별,"전라남도 순천시 별량면 송산길 259, 펫하늘별",,Y,,,,,,,200000,300000,500000,,,,
스마일 어게인,충청북도 영동군 추풍령면 작동1길 81,1544-9262,Y,,,,,,,200000,300000,500000,,,,
스윗드림 펫,경상북도 칠곡군 가산면 다부거문1길 51-68,054-974-2220,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
스타펫,경기도 포천시 내촌면 진금로 34,,Y,,,,,,,200000,300000,500000,,,,
스토리펫,경기도 화성시 효행구 정남면 서봉로851번길 83,031-353-5579,Y,,,,,,,200000,300000,500000,,,,
아이드림펫,인천광역시 서구 원당대로246번길 15 (오류동),,Y,,,,,,,200000,300000,500000,,,,
아이들랜드,경상북도 경산시 와촌면 불굴사길 82,1522-6979,Y,,,,,,,200000,300000,500000,,,,
아이별,부산광역시 기장군 장안읍 기룡길 11-33,051-727-4499,Y,,,,,,,200000,300000,500000,,,,
어게인,"인천광역시 서구 원당대로262번길 40, (주)어게인 (오류동)",,Y,,,,,,,200000,300000,500000,,,,
어름비 반려동물 장례식장,"제주특별자치도 제주시 애월읍 어음13길 16, 14호",064-799-7766,Y,,,,,,,200000,300000,500000,,,,
엔젤스톤,경기도 김포시 하성면 하성로 720,031-981-0271,Y,,,,,,,200000,300000,500000,,,,
예산 위드엔젤,충청남도 예산군 대술면 화산리 464-1 ,041-332-8787,Y,,,,,,,200000,300000,500000,,,,
오수 펫 추모공원,"전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원",063-643-0486,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
이별공간,울산광역시 울주군 삼동면 삼동로 140,,Y,,,,,,,200000,300000,500000,,,,
전남반려동물장례식장푸른솔,전라남도 여수시 율촌면 조화길 31,1566-7112,Y,,,,,,,200000,300000,500000,,,,
전남순천1004반려동물장례식장,"전라남도 순천시 서면 순천로 260-1, 동물화장시설",,Y,,,,,,,200000,300000,500000,,,,
전주 반려동물장례식장 아리움,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가),063-223-7942,Y,,,,,,,200000,300000,500000,,,,
전주 하늘,"전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크",,Y,,,,,,,200000,300000,500000,,,,
주식회사 21그램그룹,충청북도 청주시 상당구 남일면 신송서원길 120-30,1688-1240,Y,,,,,,,200000,300000,500000,,,,
주식회사 아리아펫,경기도 이천시 마장면 이장로 329-2,031-635-2266,Y,,,,,,,200000,300000,500000,,,,
주식회사 아이헤븐,경상남도 김해시 생림면 생림대로928번길 10-5,1577-5474,Y,,,,,,,200000,300000,500000,,,,
주식회사 패투헤븐,"강원특별자치도 원주시 소초면 현촌길 90-3, 나동",033-745-4211,Y,,,,,,,200000,300000,500000,,,,
주식회사 퍼스트펫,전라남도 나주시 다시면 영산로 4952,061-337-0991,Y,,,,,,,200000,300000,500000,,,,
주식회사 펫콤,"경기도 안산시 단원구 엠티브이1로 159, 동신엔지니어링 (목내동)",,Y,,,,,,,200000,300000,500000,,,,
주식회사 하늘소풍,경상남도 고성군 회화면 봉오로 145-21,,Y,,,,,,,200000,300000,500000,,,,
㈜펫문,"서울특별시 마포구 성지5길 19, 3층 (합정동)",02-322-1004,Y,,,,,,,200000,300000,500000,,,,
타임투반려동물 장례식장,전라남도 함평군 학교면 학교월봉길 217,,Y,,,,,,,200000,300000,500000,,,,
파트라슈,부산광역시 기장군 장안읍 기장대로 1561-68,051-723-2201,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
펫로스 케어,경상남도 김해시 상동면 묵방로109번길 3,,Y,,,,,,,200000,300000,500000,,,,
펫바라기,전북특별자치도 남원시 보절면 파동신동길 161-29,,Y,,,,,,,200000,300000,500000,,,,
펫브릿지,울산광역시 울주군 삼동면 삼동로 140,1670-2818,Y,,,,,,,200000,300000,500000,,,,
펫콤 안산점,경기도 안산시 상록구 서당길 10 (양상동),1833-5158,Y,,,,,,,200000,300000,500000,,,,
펫포레스트 반려동물장례식장 경기광주점,경기도 광주시 문형동 오포안로 77,1577-0996,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
펫포레스트 반려동물장례식장 김포점,경기도 김포시 통진읍 고정로 308,1577-0996,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
펫포레스트 반려동물장례식장 남양주점,"경기도 남양주시 와부읍 수레로 699, 지하1층",1577-0996,Y,한국동물장례협회 회원사,,,,,,200000,300000,500000,,,,
펫포유(PET FOR YOU),세종특별자치시 장군면 정동길 76,1533-4426,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물 장례식장 경기광주점,경기도 광주시 초월읍 산수로 409-11,,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물 장례식장 세종점,세종특별자치시 부강면 시목부강로 620,,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 김포점,경기도 김포시 월곶면 애기봉로 262,1588-2888,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 김해점,경상남도 김해시 한림면 안하로 102,1811-8044,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 양주점,경기도 양주시 광적면 부흥로 145,031-878-7779,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 용인점,경기도 용인시 처인구 양지읍 중부대로2670번길 16-19,,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 화성1호점,경기도 화성시 만세구 팔탄면 독곡길 24-42,,Y,,,,,,,200000,300000,500000,,,,
포포즈 반려동물장례식장 화성2호점,경기도 화성시 만세구 서신면 안벼슬길102번길 165,,Y,,,,,,,200000,300000,500000,,,,
하늘강아지 반려동물 장례식장,경기도 광주시 초월읍 선장동길 31-3,,Y,,,,,,,200000,300000,500000,,,,
하얀민들레,경상북도 청도군 화양읍 남성현로 852,,Y,,,,,,,200000,300000,500000,,,,
한별 리멤버파크,경상남도 함안군 법수면 이묵골로 135-3,055-582-0042,Y,,,,,,,200000,300000,500000,,,,
한별 반려동물 장례식장,"경상남도 창원시 진해구 진해대로 2507, 주식회사어울림 (용원동)",,Y,,,,,,,200000,300000,500000,,,,
해늘마루,전라남도 목포시 고하대로 1140-17(대양동),061-273-4000,Y,,,,,,,200000,300000,500000,,,,
해피펫,전북특별자치도 완주군 이서면 팥죽이로 205-7,063-242-2114,Y,,,,,,,200000,300000,500000,,,,
